entity,ids
Fin Field Effect Transistors ( FinFETs ) .,0
( FinFets ) .,0
( FinFETs ) of,0
"( e . g . , FinFETs ) and",0
FinFet,0
( FINFET ) is,0
"( e . g . , a FinFET ) ,",0
"Fin Field Effect Transistor ( FinFET ) ,",0
"FETs ( FinFETs ) ,",0
"( FINFET ) ,",0
Field - Effect Transistors ( FinFETs ) in,0
"( FINFETs ) ,",0
( FET ) ( FinFET ) that,0
FINFETs .,0
FinFET .,0
( FinFETs ) are,0
( Finfets ) .,0
"( for example , FinFET ) .",0
FINFET,0
( FinFET ) were,0
( FinFETs ) may,0
finFET,0
Field - Effect Transistors ( FinFETs ) .,0
Fin Field - Effect Transistor ( FinFET ) ;,0
( Fin FET ) .,0
( FinFETs ) .,0
( FinFETs ) and,0
FinFET is,0
finFETs .,0
( FinFET ) with,0
FETs ( FinFETs ) .,0
"( e . g . , FinFET ) .",0
Effect Transistor ( FinFET ) .,0
"( i . e . , a FinFET ) .",0
fin - Field Effect Transistor ( finFET ) is,0
( FinFETs ) or,0
( FINFETs ) and,0
( FINFET ) .,0
"( FinFETs ) ,",0
"( FinFET ) ,",0
"Fin Field Effect Transistors ( FinFETs ) ,",0
Fin Field - Effect Transistors ( FinFETs ) is,0
"( e . g . , FinFETs ) ,",0
( FinFETs ) is,0
FINFET .,0
( FinFETs ) on,0
Fin Field - Effect Transistors ( FinFETs ) have,0
"( e . g . , FinFETs ) that",0
finFETs,0
Fin Field Effect Transistor ( FinFET ) .,0
Finfet,0
FinFETs .,0
Fin FET,0
FINFETS,0
Field Effect Transistor ( FinFET ) according,0
FinFETS .,0
( FINFET ) can,0
"( e . g . , FinFET ) and",0
Fin Field - Effect Transistors ( FinFETs ) in,0
( FinFETs ) in,0
"Fin Field - Effect Transistors ( FinFETs ) ,",0
Fin FET .,0
Field - Effect Transistors ( FETs ) ( FinFETs ) in,0
( FinFET ) .,0
( Fin FET ) and,0
FINFETs,0
Finfets,0
( FinFETs ) can,0
"( e . g . , FinFETs ) are",0
FinFET,0
Field - Effect Transistors ( FinFETs ) or,0
Fin Field - Effect Transistor ( FinFET ) in,0
Fin Field - Effect Transistor ( FET ) ( FinFET ) that,0
"Fin Field - Effect Transistor ( FinFET ) ,",0
"( e . g . , FinFETs ) can",0
Fin Field Effect Transistor ( FinFET ) is,0
"( e . g . , a FinFET ) .",0
FinFETs,0
"( e . g . , FinFETs ) in",0
FINFet,0
"FinFET ,",0
Fin FETs,0
FinFETS,0
Si,1
( Si ),1
ILDs,2
ILD .,2
ILD,2
Interlayer Dielectric ( ILD ) /,2
"Inter - Layer Dielectric ( ILD ) ,",2
Inter - Layer Dielectrics,2
CMP ( Chemical Mechanical Polishing ) method,3
"( e . g . , CMP ) on",3
Chemical - Mechanical Polishing ( CMP ) may,3
Chemical Mechanical Polish ( CMP ) is,3
( CMP ) at,3
Chemical Mechanical Polish ( CMP ) or,3
"( e . g . , CMP ) can",3
( CMP ) may,3
( CMP ) and,3
( CMP ) are,3
Chemical Mechanical Polishing ( CMP ) is,3
CMP ( Chemical Mechanical Polishing ) .,3
( CMP ) a,3
Chemical - Mechanical Process ( CMP ) to,3
( CMP ) to,3
"( e . g . , CMP ) .",3
CMP is,3
( CMP ) in,3
"( e . g . , CMP ) is",3
Chemical Mechanical Polish ( CMP ) may,3
"( e . g . , CMP ) ,",3
"( CMP ) ,",3
( CMP ) ;,3
( CMP ) on,3
( CMP ) the,3
( CMP ) of,3
CMP,3
( CMP ) that,3
( CMP ) .,3
"Chemical Mechanical Polish ( CMP ) ,",3
CMP ( Chemical Mechanical Polishing ) to,3
( CMP ) as,3
"( e . g . , CMP ) may",3
Chemical Mechanical Polishing ( CMP ) processes,3
"( for example , a CMP ) is",3
CMP ( Chemical Mechanical Polish ) .,3
CMP ( polishing ) of,3
( CMP ) /,3
CMP .,3
CMP to,3
( CMP ) (,3
"( for example , CMP ) is",3
Chemical Mechanical Polish ( CMP ) .,3
Chemical Mechanical Polish ( CMP ) to,3
( CMP ) is,3
"Chemical - Mechanical Polishing ( CMP ) ,",3
Germanium ( Ge ),6
Germanium,6
Germanium ( Ge ) /,6
Ge,6
Germanium ( Ge ) is,6
germanium,6
Germanium ( Ge ) .,6
Germanium ( Ge ) has,6
Germanium .,6
Germanium ( Ge ) based,6
germanium ( Ge ),6
"Germanium ( Ge ) ,",6
"( Germanium ) ,",6
"germanium ,",6
CMOS ( Complementary Metal Oxide Semiconductor ),7
Complementary Metal Oxide Semiconductor,7
( CMOS ) .,7
Complementary Metal - Oxide Semiconductor,7
( CMOS ),7
"CMOS ( Complementary Metal Oxide Semiconductor ) ,",7
Complementary Metal Oxide Semiconductor ( CMOS ) or,7
CMOS ( Complementary Metal Oxide Semiconductor ) based,7
CMOS,7
Metal - Oxide - Semiconductor Field - Effect Transistor ( MOSFET ) is,8
( MOSFETs ) has,8
( MOSFET ) is,8
"Metal - Oxide - Semiconductor Field - Effect Transistor ( MOSFET ) ,",8
MOSFETS,8
( MOSFET ) or,8
( MOSFET ) may,8
MOSFET ( Metal Oxide Semiconductor Field Effect Transistor ) as,8
MOSFET,8
( MOSFET ) which,8
MOSFETs,8
"( e . g . , MOSFETs ) .",8
( MOSFETs ) .,8
( such as a MOSFET ) .,8
( MOSFETs ) and,8
"( e . g . , a MOSFET ) that",8
"( MOSFETs ) ,",8
( MOSFETs ) can,8
MOS FET,8
"( e . g . , MOSFET ) .",8
"( e . g . , a MOSFET ) .",8
"( MOSFET ) ,",8
Metal Oxide Semiconductor Field Effect Transistors ( MOSFETs ) are,8
MOSFET .,8
MOSFETS .,8
( MOSFETs ) is,8
MOSFETs .,8
"( e . g . , MOSFETs ) are",8
Metal Oxide Semiconductor Field Effect Transistor ( MOSFET ) .,8
( MOSFETs ) have,8
( MOSFETs ) include,8
MOSFET ( Metal - Oxide - Semiconductor Field - Effect Transistor ) .,8
Metal - Oxide - Semiconductor Field - Effect Transistor ( MOSFET ) .,8
"Metal Oxide Semiconductor Field Effect Transistor ( MOSFET ) ,",8
Metal - Oxide - Semiconductor Field - Effect Transistor ( MOSFET ) in,8
"( e . g . , a MOSFET ) and",8
( MOSFETs ) because,8
( MOSFET ) .,8
"( e . g . , MOSFET ) is",8
“ MOSFET,8
( NMOS ) or,9
( NMOS ) .,9
NMOS,9
( referred to as an NMOS ) and,9
NMOS .,9
"( NMOS ) ,",9
NMOSs .,9
"( e . g . , three - dimensional NAND ) may",10
3D - NAND,10
3 - D NAND,10
3D NAND,10
"AlGaN ,",12
AlGaN,12
( AlGaN ) .,12
"( AlGaN ) ,",12
Aluminium Gallium Nitride ( AlGaN ) and,12
Aluminum Gallium Nitride,12
Field Effect Transistor ( FET ) having,14
FETs .,14
Field Effect Transistors ( FETs ) .,14
"Field Effect Transistor ( FET ) ,",14
( FET ) ”,14
Field - Effect Transistor ( FET ) to,14
"( FETs ) ,",14
FET,14
( FETs ) .,14
Field Effect Transistor,14
"( FET ) ,",14
( FETs ) have,14
( FETs ) using,14
( FET ) is,14
Field Effect Transistor .,14
( FETs ) are,14
( FET ) .,14
( FETs ) is,14
"( Field Effect Transistor ) ,",14
Field Effect Transistor ( FET ) is,14
( FETs ) that,14
Field Effect Transistor ( FET ) where,14
Field Effect Transistor ( FET ) typically,14
FETs,14
FET .,14
( CESL ) (,15
"( e . g . , CESL ) (",15
"( CESL ) ,",15
( CESL ) .,15
CESL .,15
CESLs,15
CESL,15
Korean Patent Office,18
"Korean Intellectual Property Office ( KIPO ) ,",18
Korean Intellectual Property Office,18
Korean Intellectual Property Office .,18
Gallium Arsenide ( GaAs ) .,20
Gallium Arsenide,20
Gallium Arsenide ( GaAs ) The,20
GaAs,20
"Gallium Arsenide ( GaAs ) ,",20
GaAS,20
Gallium - Arsenide ( GaAs ) .,20
( GaAs ),20
GAA,21
( GAA ) .,21
Gate - All - Around structure,22
( GAA ) structure,22
GAA ( Gate - All - Around ) structure,22
Japanese Patent Applications No .,24
Japan Patent Application No .,24
Japanese Patent Application No .,24
"Celsius ( ° C . ) ,",25
Celsius ( ° C . ) by,25
Celsius ( ° C . ) in,25
Celsius ( C ) to,25
Celsius ( ° C . ) ;,25
Degrees Celsius,25
Celsius ( C ) in,25
"Celsius ( C ) ,",25
Celsius ( ° C . ) for,25
Celsius ( ° C . ) .,25
Celsius ( ° C . ) to,25
Degrees Celsius .,25
Celsius .,25
Celsius ( C ) or,25
( ° C . ) measurement,25
( ° C . ) (,25
Celsius ( C ) with,25
Celsius ( ° C . ) (,25
Celsius ( ° C . ) and,25
( ° C . ) .,25
Celsius ( C ) and,25
Celsius,25
Celsius ( C . ) .,25
Celsius ( C ) .,25
Celsius ( ° C . ) or,25
Mach - Zehnder,26
Mach Zehnder,26
U . S . Patent Applications,28
United States Patent Application .,28
US Patent Application,28
U . S . Patent Application,28
United States Patent Application,28
Wi - Fi ”,29
“ Wi - Fi ”,29
Wi - Fi ( Institute of Electrical and Electronics Engineers ( IEEE ) 802 . 11,29
Wi - Fi®,29
WiFi ( IEEE 802 . 11 ) family,29
IEEE 802 . 11 Wi - Fi interfaces,29
"Wi - Fi ( IEEE 802 . 11 ) ,",29
802 . 11 ( WiFi ) to,29
"( e . g . , IEEE 802 . 11 or WiFi® ) .",29
"( such as WiFi ) ,",29
“ WiFi,29
IEEE 802 . 11 ( WiFi™ ) standards,29
IEEE 802 . 11 WiFi,29
( IEEE ) 802 . 11,29
( WiFi ) .,29
WiFi,29
"( e . g . , IEEE 802 . 11 protocols — sometimes referred to as WiFi® ) ,",29
Wireless Local Area Network ( WLAN ) IEEE 802 . 11,29
WiFi®,29
Wi - Fi IEEE 802 . 11,29
"( e . g . , all via WiFi ) ,",29
( Wi - Fi ) ( Institute of Electrical and Electronics Engineers ( IEEE 802 . 11,29
IEEE 802 . 11,29
IEEE 802 . 11 ( WiFi ) wireless,29
Wi - Fi has,29
( Wi - Fi ) ( Institute of Electrical And Electronics Engineers ( IEEE 802 . 11,29
WiFi ( 802 . 11 ) for,29
802 . 11 WiFi,29
"( for example , WiFi ) .",29
"( e . g . , IEEE 802 . 11 ) ,",29
‘ Wi - Fi®,29
WiFi .,29
WiFi 802 . 11,29
"IEEE802 . 11 ( WiFi ) ,",29
"802 . 11 ( WiFi ) ,",29
"IEEE 802 . 11 ( Wi - Fi ) ,",29
WiFi™,29
Wi - Fi® .,29
"( e . g . , IEEE 802 . 11 protocols — sometimes referred to as Wi - Fi® ) ,",29
Graphic Processing unit ( GPU ) ;,30
"Graphic Processing Unit ( GPU ) ,",30
"( e . g . , GPU ) ,",30
"graphic Processing Unit ( GPU ) ,",30
Graphic Processing Unit ( GPU ) for,30
"( GPU ) ,",30
Graphics Processing Unit ( GPU ) or,30
"Units ( GPUs ) ,",30
"Graphics Processing Unit ( GPU ) ,",30
"( for example , GPU ) ,",30
Graphic Processing Unit ( GPU ) and,30
GPU .,30
GPU ( Graphics Processing Unit ) (,30
"Graphical Processing Unit ( GPU ) ,",30
"( for example , a GPU ) ,",30
GPU,30
"( e . g . , GPU ) which",30
"( 1 , 1 , 1 , 3 , 3 , 3 - hexamethyldisilazane , available from TOKYO OHKA KOGYO CO . , LTD . ) ,",32
"( 1 , 1 , 1 , 3 , 3 , 3 - hexamethyldisilazane , manufactured by TOKYO OHKA KOGYO CO . , LTD . ) ,",32
"( 1 , 1 , 1 , 3 , 3 , 3 - hexamethyldisilazane , available from TOKYO OHKA KOGYO CO . , LTD . ) and",32
"( 1 , 1 , 1 , 3 , 3 , 3 - hexamethyl disilazane , manufactured by TOKYO OHKA KOGYO CO . , LTD . ) ,",32
"( 1 , 1 , 1 , 3 , 3 , 3 - hexamethyldisilazane , manufactured by TOKYO OHKA KOGYO CO . , LTD . ) was",32
( 3D ) display,35
( 3D ) displays,35
"Three - Dimensional Integrated Circuits ( 3DIC ) ,",36
( 3DICs ) and,36
3DIC,36
( 3DIC ) and,36
( 3DIC ) having,36
"( e . g . , 3DIC ) that",36
"( 3D IC ) ,",36
"( e . g . , 3DIC ) .",36
3DIC .,36
( 3DICs ) were,36
"( 3DICs ) ,",36
3DICs,36
Three Dimensional Integrated Circuits ( 3DIC ) ”,36
3DICs .,36
( 3DIC ) may,36
( 3DIC ) .,36
Three - Dimensional Integrated Circuits ( 3DICs ) .,36
"( 3DIC ) ,",36
( 3DICs ) are,36
"( AC - 2 , manufactured by Riken Keiki , Co . , Ltd . ) in",39
"( AC - 2 photoelectron spectrometer manufactured by Riken Keiki , Co . , Ltd . ) in",39
"( AC - 2 , manufactured by Riken Keiki Co . , Ltd . ) under",39
Comparative Example ( Ref ) .,40
"Comparative Example ( Ref ) ,",40
. Net,41
. NET,41
( AFM ) .,42
Atomic Force Microscopy,42
( AFM ) or,42
"Atomic Force Microscopy ( AFM ) ,",42
"Atomic Force Microscope ( AFM ) ,",42
( AFM ) and,42
Atomic Force Microscope ( AFM ) may,42
“ AFM,42
AFM ( Atomic Force Microscopy ) image,42
( AFM ) at,42
Atomic Force Microscopy ( AFM ) and,42
Atomic Force Microscopy .,42
"AFM ( Atomic Force Microscope ) ,",42
( AFM ) for,42
( AFM ) that,42
( AFM ) of,42
( AFM ) may,42
( AFM ) (,42
AFM .,42
AFM,42
( AFM ) in,42
"( AFM ) ,",42
Atomic Force Microscope .,42
“ Battery Management System,43
Battery Management System,43
Internet of Things ( PIOT ) device,44
Internet of Things ( IoT ) network,44
Internet of Things ( IoT ) sensors,44
Internet of Things ( IOT ) device,44
Internet of Things ( TOT ) module,44
Internet of Things ( IoT ) technology,44
Internet of Things,44
Internet of Things ( IoT ) system,44
Internet of Things ( IoT ) enabled,44
“ Internet of Things ” ( IoT ) .,44
"Internet of Things ,",44
"Internet of things ( IoT ) ,",44
Internet - of - Things ( IoT ) and,44
Internet of things ( IoT ) technology,44
Internet of Things ( IoT ) .,44
Internet of Things ( IoT ) applications,44
IoT,44
Internet of Things ( IoT ) and,44
IoT ( Internet of Things ) technologies,44
"( IoT ) ,",44
IoT ( Internet of Things ) function,44
IoT ( Internet of Things ) device,44
Internet of Things .,44
Internet of Things ( IOT ) devices,44
Internet of Things ( IoT ) devices,44
Internet of Things ( IOT ) .,44
"Internet of Things ( IOT ) ,",44
Internets of Things ( IoT ) .,44
Internet of Things ( IoT ) is,44
IoT ( Internet of Things ) devices,44
Internet - of - Things ( IoT ) .,44
Internet of Things ( IoT ) device,44
"Internet of Things ( IoT ) ,",44
Qi®,45
“ Qi ”,45
Qi,45
“ Qi,45
“ Raspberry Pi,46
Raspberry Pi 2,46
Raspberry Pi®,46
Rasberry Pi,46
Raspberry Pi,46
“ Self - Aligned ”,47
Self - Aligned,47
Sonos® Controller,48
“ Sonos® Controller,48
“ Sonos Controller,48
"( all manufactured by ADEKA CORPORATION ) ,",49
” ( all manufactured by ADEKA CORPORATION ) .,49
"( manufactured by ADEKA CORPORATION ) ,",49
( “ Irgacure 379EG ” available from BASF ) were,52
"( “ Irgacure 379EG ” available from BASF ) ,",52
( available from Sigma - Aldrich ) .,55
( available from Sigma - Aldrich ) to,55
"( available from Sigma - Aldrich ) ,",55
( available from Aldrich ) were,55
( available from Aldrich ) as,55
"( available from Aldrich ) ,",55
( available from Sigma - Aldrich ) was,55
"( manufactured by Tokyo Chemical Industry Co . , Ltd . ) were",56
"( available from Tokyo Chemical Industry Co . , Ltd . ) and",56
"( manufactured by Tokyo Chemical Industry Co . , Ltd . ) :",56
"( manufactured by Tokyo Chemical Industry Co . , Ltd . ) or",56
"( available from Tokyo Chemical Industry Co . , Ltd . ) .",56
"( manufactured by Tokyo Chemical Industry Co . , Ltd . ) (",56
"( from Tokyo Chemical Industry Co . , Ltd . ) ,",56
"( manufactured by Tokyo Chemical Industry Co . , Ltd . ) in",56
"( commercially available from Tokyo Chemical Industry Co . , Ltd . ) was",56
"( available from Tokyo Chemical Industry Co . , Ltd . ) ,",56
"( manufactured by Tokyo Chemical Industry Co . , Ltd . ) ,",56
"( available from Tokyo Chemical Industry Co . , Ltd . ) was",56
"( from Tokyo Chemical Industry Co . , Ltd . ) and",56
"( manufactured by Tokyo Chemical Industry Co . , Ltd . ) was",56
"( manufactured by Tokyo Chemical Industry Co . , Ltd . ) under",56
"( from Tokyo Chemical Industry Co . , Ltd . ) were",56
"( available from Tokyo Chemical Industry Co . , Ltd . ) with",56
"( available from Kanto Chemical Co . , Inc . ) ,",57
"( available from Kanto Chemical Co . , Inc . ) and",57
"( available from Kanto Chemical Co . , Inc . ) was",57
"( available from Kanto Chemical Co . , Inc . ) were",57
"( available from Dow Corning ) ,",58
( available from Dow Corning ) .,58
"( available from Yein Tech . , Korea ) .",60
"( available from Yein Tech . , Korea ) ,",60
( B - CF ) which,61
( B - CF ) .,61
"( Ba content : 8 % , Wako 021 - 09471 , manufactured by Wako Chemical , Ltd . ) were",62
"( Ba content : 8 % , Wako 021 - 09471 , available from Wako Chemical , Ltd . ) were",62
"( Ba content : 8 % by weight , Wako 021 - 09471 , manufactured by Wako Chemical , Ltd . ) were",62
"( BANI - M , manufactured by Maruzen Petrochemical Co . , Ltd . ) ,",63
"( BANI - M , alkenyl group equivalent : 286 g / eq , manufactured by Maruzen Petrochemical Co . , Ltd . ) to",63
"( BANI - M , manufactured by Maruzen Petrochemical Co . , Ltd . ) was",63
"( BANI - M , alkenyl group equivalent : 286 g / eq , manufactured by Maruzen Petrochemical Co . , Ltd . ) ,",63
"( Mylar® ) ,",65
"( boPET or Mylar® ) ,",65
Mylar®,65
Mylar® .,65
Mylar,65
"( e . g . , Mylar ) ,",65
Mylar .,65
( Boro - Phospho Silicate Glass ) film,66
( Boron Phosphorus Silicon Glass ) film,66
( Borophosphsilicate Glass ) film,66
( CD - ROM ) and,70
"( CD - ROM ) , CD",70
"Compact Disc Read - only Memory ( CD - ROMs ) ,",70
( CD - ROMs ) or,70
"( CD - R ) , Compact Disk",70
"( CD - ROMs ) ,",70
"( CD ROM ) ,",70
"( CD - ROM ) ,",70
"Only Memory ( CD - ROMs ) ,",70
( CD - ROM ) or,70
"CD - ROMs ( Compact Disc - Read Only Memories ) ,",70
"( CD - ROM ) , Compact Disk",70
( CD ) ROM,70
"( CD - ROMs ) , CD",70
( CD - ROM ) drive,70
( CD - ROM ) disks,70
"( CD - R ) ,",70
"( CD - R Drive ) , CD",70
( CD - ROM ) .,70
CD - ROMs,70
"( BeiDou ) ,",72
"( Beidou ) ,",72
"( CFT - 200R , COVOTECH Co . , Ltd . ) ,",73
"( CFT - 200R , Covotech Co . , Ltd . ) ,",73
"( CH3 ) 2 ] 3H , abbreviation : 3DMAS gas",75
3DMAS,75
"( CH3 ) 2 ] 3H , abbreviated as 3DMAS gas",75
"( CH3 ) 2 ] 4 , abbreviated as TDMAT gas",77
tdmat,77
TDMAT .,77
"( DMA ) ,",78
( DMA ) was,78
( DMA ) on,78
( DMA ) .,78
DMAs,78
DMA,78
DMA .,78
"( CH3 ) 2NH , abbreviated as DMA gas",78
( DMA ) of,78
( CIC ) filter,80
( CIC ) filters,80
( CKE ) signals,81
( CKE ) signal,81
"( CS - 1000 manufactured by Konica Minolta , Inc . ) .",82
"( CS - 1000 , manufactured by Konica Minolta Holdings , Inc . ) .",82
"( CS - 1000 , manufactured by KONICA MINOLTA , INC . ) .",82
"( CY 179 , Ciba - Geigy Co . , Ltd . ) ,",83
"( CY - 179 , Ciba Chemical ) ,",83
"CPU ( Central Processing Unit ) ,",84
CPU,84
"Central Processing Unit ( CPU ) ,",84
Central Processing Units ( CPUs ) and,84
Units ( CPUs ) ;,84
Central Processing Unit ( CPU ) or,84
CPU ( Central Processing Unit ) that,84
CPU ( Central Processing Unit ) and,84
Central Processing Unit ( CPU ) .,84
( Central Processing Unit ) .,84
CPU ( Central Processing Unit ) or,84
"Units ( CPUs ) ,",84
( Central Processing Unit ) and,84
"( Central Processing Unit ) ,",84
"( Central Processing Units ) ,",84
CPU ( Central Processing Unit ) in,84
Central Processing Unit ( CPU ) and,84
CPU ( Central Processing Unit ) (,84
CPU ( Central Processing Unit ) to,84
CPU ( Central Processing Unit ) .,84
"Central Processing Units ( CPUs ) ,",84
PMOS .,89
"( PMOS ) ,",89
( PMOS ) .,89
PMOS,89
"( e . g . , PMOS ) and",89
SBD .,93
SBD ( Schottky Barrier Diode ) which,93
Schottky Barrier Diodes,93
"SBD ( Schottky Barrier Diode ) ,",93
"( SBD ) ,",93
SBD,93
( SBD ) .,93
( SBD ) as,93
USB .,97
( USB ) and,97
"( e . g . , Universal Serial Bus or USB ) ;",97
"( USB ) ,",97
USB,97
Universal Serial Bus ( USB ) is,97
( USB ) is,97
"Universal Serial Bus ( USB ) ,",97
USB ( Universal Serial Bus ) or,97
( USB ) or,97
Universal Serial Bus ( USB ) and,97
( USB ) .,97
Universal Serial Bus ( USB ) .,97
USB ( Universal Serial Bus ) was,97
"( e . g . , USB ) ,",97
( USB ) has,97
USB®,97
USB ( Universal Serial Bus ) .,97
Universal Serial Bus ( USB ),97
Universal Serial Bus ( USB ) or,97
USB ( universal Serial Bus ) connector,98
Universal Serial Bus™ ( USB ) connector,98
Universal Serial Bus ( “ USB ” ) connector,98
Universal Serial Bus ( USB ) connector,98
( USB ) connector,98
USB 3 . 0 .,99
USB3 . 0,99
USB 3 . 0,99
USB 3 . 1 ( or USB 3 . 0 ) standard,99
USB3 .,99
( USB ) 3,99
USB3,99
USB 3,99
USB 3 . 0 Specification,99
USB 3 .,99
USB 2 . 0 A Type,100
USB2,100
USB 2 . 0,100
USB 2 . 0 A,100
USB 2,100
USB 2 .,100
"Universal Serial Bus ( USB ) , USB2",100
"( e . g . , USB 2 . 0 ) .",100
USB TYPE - A 2,100
USB2 .,100
USB2 . 0,100
standard USB 2 . 0,100
USB 2 . 0 .,100
USB 2 . 0 Standard,100
Micro - USB Type,101
MICRO USB,101
Micro USB,101
MicroUSB,101
Micro USB .,101
Universal Serial Bus ( USB ) Type - C ( USB - C ) connector,102
USB - C connector,102
USB - C connectors,102
Universal Serial Bus ( USB ) Type - C connector,102
USB Type - C connector,102
USB ( Universal Serial Bus ) Type - C connectors,102
C ( USB - C ) connector,102
USB Type - C connectors,102
IGBTs,105
IGBT ( Insulated Gate Bipolar Transistor ) and,105
( IGBTs ) or,105
( IGBT ) having,105
"( e . g . , IGBTs ) so",105
( IGBTs ) that,105
Insulated Gate Bipolar Transistor,105
IGBTs .,105
Insulated Gate Bipolar Transistor ( IGBT ) may,105
Insulated Gate Bipolar Transistor ( IGBT ) ;,105
( IGBTs ) in,105
( IGBT ) of,105
( IGBT ) by,105
( IGBT ) have,105
( IGBT ) to,105
"IGBT ( Insulated Gate Bipolar Transistor ) ,",105
IGBT ( Insulated Gate Bipolar Transistor ) having,105
Insulated Gate Bipolar Transistor ( IGBT ) or,105
( IGBT ) as,105
( IGBT ) in,105
( IGBT ) or,105
"( IGBTs ) ,",105
( IGBT ) with,105
"Insulated Gate Bipolar Transistor ( IGBT ) ,",105
Insulated Gate Bipolar Transistor ( IGBT ) .,105
( IGBTs ) are,105
Insulated Gate Bipolar Transistor ( IGBT ) has,105
( IGBT ) and,105
IGBT ( Insulated Gate Bipolar Transistor ) is,105
( IGBT ) ;,105
( IGBT ) .,105
IGBT ( insulated Gate Bipolar Transistor ) .,105
( IGBT ) which,105
( IGBT ) may,105
( IGBTs ) and,105
"( IGBT ) ,",105
( IGBT ) is,105
( IGBTs ) .,105
( IGBT ) such,105
( IGBT ) are,105
IGBT ( Insulated Gate Bipolar Transistor ) .,105
IGBT,105
IGBT .,105
"Bump Metallurgies ( UBMs ) ,",109
( UBM ),109
( UBM ) on,109
( UBM ) in,109
( UBMs ) are,109
( UBM ) where,109
"( UBM ) ,",109
UBMs .,109
UBMs,109
( UBM ) .,109
"( i . e . , UBMs ) are",109
( UBMs ) .,109
( UBM ) is,109
UBM,109
"( e . g . , UBM ) is",109
UBM .,109
"( UBMs ) ,",109
ASIC ( Application Specific Integrated Circuit ) that,112
"( e . g . , an ASIC ) for",112
ASIC ( Application Specific Integrated Circuit ) .,112
"( e . g . , ASICs ) may",112
"ASIC ( s ) ,",112
ASICs .,112
( ASICs ) .,112
ASICs,112
( ASIC ) or,112
"Integrated Circuits ( ASICs ) ,",112
ASIC,112
( ASIC ) on,112
"Integrated Circuit ( s ) ( ASIC ) ,",112
"( e . g . , ASICs ) that",112
ASIC ( Application Specific Integrated Circuit ) and,112
( ASIC ) and,112
"Integrated Chip ( ASIC ) ,",112
Integrated Circuit ( ASIC ) or,112
"( ASIC ) ,",112
"( e . g . , ASIC ) ,",112
"Integrated Circuitry ( ASICs ) , Field",112
( ASIC ) that,112
"Application - Specific Integrated Circuit ( ASIC ) ,",112
( ASIC ) can,112
Integrated Circuit ( ASIC ) .,112
Integrated Circuits ( ASICs ) .,112
ASIC ( Application Specific Integrated Circuit ) or,112
( ASIC ) for,112
"ASIC ( Application Specific Integrated Circuit ) ,",112
"( e . g . , Application Specific Integrated Circuit , or ASIC ) ,",112
( ASICs ) or,112
( ASICs ) can,112
ASIC ( Application - Specific Integrated Circuit ) .,112
"Application Specific Integrated Circuit ( ASIC ) ,",112
Integrated Circuit ( ASIC ) may,112
Specific Integrated Circuit ( ASIC ) or,112
( ASIC ) is,112
"Specific Integrated Circuits ( ASICs ) ,",112
ASIC ( Application Specific IC ) and,112
( ASIC = Application Specific Integrated Circuit ) .,112
( ASIC ) such,112
Specific Integrated Circuit,112
"Specific Integrated Circuits ( ASICs ) , Field",112
( ASIC ) in,112
( ASIC ) having,112
( ASIC ) may,112
"( e . g . , Application Specific Integrated Circuits or ASICs ) ,",112
"( e . g . , an ASIC ) .",112
ASIC ( Application Specific Integrated Circuit ) which,112
Specific Integrated Circuit ( ASIC ) ;,112
